"Owner.Sales.Role.Region","Is.Deal.Registration","Billing.Country","Cloud.Data.Platform","Cloud.Provider","Stage","Opportunity.Record.Type","Plan.Type","Lead.Source","Opportunity.ARR","Amount..ACV..Currency","Amount..ACV.","Created.Date","Close.Date","Age","Days.in.Free.Trial","Days.in.Current.Stage","Free.Trial.","Trial.End.Date","Loss.Reason","Opportunity.Source","year"
"EAE - NA East",0,"United States","Other","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"USD",23000,"1/20/2021","3/26/2021",65,NA,101,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"Austria","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",6622,"USD",10000,"5/11/2021","11/19/2021",192,NA,101,1,"5/18/2021","Unable to contact","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Switzerland","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Sales Prospecting",0,"USD",30000,"7/20/2021","8/9/2021",20,20,101,0,"","","Inbound SDR/Marketing","2021"
"CAE - NA Southeast",0,"United States","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"",NA,"2/1/2021","12/28/2021",330,NA,101,0,"","Unable to contact","Sales","2021"
"EAE - NA Central",0,"Canada","","","7 - Closed Lost","Synapse Opportunity","Contract","Paid",NA,"USD",62000,"9/23/2021","12/8/2021",76,NA,101,0,"","Staying with Incumbent Solution","Outbound SDR","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Databricks Opportunity","","Event",NA,"USD",30000,"1/6/2021","4/26/2021",110,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"CAE - NA Central",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"8/24/2021","10/19/2021",56,NA,101,0,"","Unable to contact","Partner","2021"
"Other",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"USD",10000,"6/11/2021","9/21/2021",102,NA,101,0,"","Lost to Competitor","Partner","2021"
"CAE - RoW",0,"Japan","BigQuery","","7 - Closed Lost","BigQuery Opportunity","","Sales Prospecting",NA,"USD",30500,"7/15/2021","10/20/2021",97,NA,101,0,"","Missing Features","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Netherlands","Other","","7 - Closed Lost","Snowflake on Azure Opportunity","","Event",NA,"USD",40000,"7/26/2021","9/16/2021",52,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"USD",10000,"2/2/2021","8/9/2021",188,30,101,1,"3/24/2021","Change in Project Scope","Inbound SDR/Marketing","2021"
"CAE - RoW",1,"Netherlands","Snowflake","AWS","7 - Closed Lost","New Logo","PayGo","Consulting Partner",NA,"",NA,"11/19/2021","3/25/2022",126,NA,55,0,"","Unable to contact","Partner","2021"
"EAE - RoW EMEA/APAC",0,"United Kingdom","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"USD",19950,"1/12/2021","3/28/2021",75,NA,101,0,"","Change in Project Scope","Sales","2021"
"EAE - NA East",0,"United States","Redshift","","7 - Closed Lost","Redshift Opportunity","","Paid",NA,"",NA,"8/6/2021","10/7/2021",62,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Singapore","Snowflake","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",20000,"7/15/2021","2/22/2022",222,NA,86,0,"","Change in Project Scope","Partner","2021"
"EAE - RoW UK",0,"United Kingdom","","","7 - Closed Lost","New Logo","","Event",NA,"USD",1,"9/27/2021","2/15/2022",141,NA,93,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",51000,"7/15/2021","9/19/2022",308,NA,101,0,"","","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",0,"Italy","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"5/4/2021","6/21/2021",48,NA,101,0,"","Change in Project Scope","Outbound SDR","2021"
"CAE - RoW",0,"South Africa","Redshift","AWS","7 - Closed Lost","Redshift Opportunity","","Organic",NA,"USD",10000,"8/3/2021","9/6/2021",34,34,101,0,"","Duplicate","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Synapse","Azure","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"8/10/2021","3/11/2022",213,NA,69,0,"","Duplicate","Sales","2021"
"CAE - RoW",1,"United Kingdom","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"1/19/2021","12/16/2021",331,NA,101,0,"","Unable to contact","Partner","2021"
"CAM - NA",0,"United States","","","7 - Closed Lost","Redshift Opportunity","","Sales Prospecting",NA,"",NA,"8/25/2021","11/2/2021",69,NA,101,0,"","Unable to contact","Sales","2021"
"CAM - NA",1,"Mexico","BigQuery","","7 - Closed Lost","BigQuery Opportunity","","Consulting Partner",NA,"",NA,"1/19/2021","9/10/2021",234,NA,101,0,"","Change in Project Scope","Partner","2021"
"CAE - RoW",1,"United Kingdom","Snowflake","Azure","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",13000,"5/21/2021","2/18/2022",273,NA,90,1,"7/30/2021","Decided to use Partner","Sales","2021"
"CAM - NA",0,"United States","","","8 - Closed Won","Redshift Opportunity","PayGo","Techno-company Data Loader",31203,"USD",15700,"2/3/2021","3/31/2021",56,18,101,1,"2/15/2021","","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"USD",35000,"7/14/2021","1/12/2022",182,NA,101,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Australia","Other","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"9/21/2021","10/28/2021",37,NA,101,0,"","Change in Project Scope","Partner","2021"
"EAE - NA Central",1,"United States","Snowflake","AWS","1 - Identified","New Logo","","Consulting Partner",NA,"USD",23000,"1/28/2021","8/30/2022",476,NA,71,0,"","","Partner","2021"
"EAE - RoW EMEA/APAC",1,"Australia","Snowflake","AWS","1 - Identified","New Logo","Contract","Incoming Call/Email",NA,"USD",169593,"8/30/2021","7/14/2022",262,NA,101,1,"5/27/2022","","Sales","2021"
"",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"7/15/2021","8/2/2021",18,NA,101,0,"","Missing Features","Sales","2021"
"EAE - NA East",0,"United States","Snowflake","Azure","1 - Identified","Expansion","","Sales Prospecting",NA,"USD",10000,"7/30/2021","1/27/2023",293,NA,101,0,"","","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",0,"Sweden","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",30000,"1/29/2021","10/5/2021",249,NA,101,0,"","Unable to contact","Sales","2021"
"EAE - NA East",0,"United States","Redshift","","7 - Closed Lost","Redshift Opportunity","","Organic",0,"",NA,"2/9/2021","3/10/2021",29,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - NA East",1,"United States","Redshift","","1 - Identified","Expansion","Contract","Sales Prospecting",NA,"USD",250000,"7/22/2021","8/15/2022",301,NA,101,0,"","","Sales","2021"
"Other",0,"United States","Databricks","","0 - Discovery","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"3/9/2022","4/30/2022",71,NA,NA,0,"","","Outbound SDR","2022"
"CAE - RoW",0,"India","Snowflake","AWS","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"USD",10000,"8/3/2021","9/6/2021",34,34,101,1,"8/14/2021","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA Central",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Consulting Partner",NA,"USD",10000,"8/26/2021","9/24/2021",29,NA,101,0,"","Change in Project Scope","Partner","2021"
"EAE - NA West",0,"United States","Other","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"USD",23000,"1/12/2021","7/30/2021",199,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"Other",0,"United States","","","8 - Closed Won","Demo/Test License","","Sales Prospecting",NA,"USD",0,"5/10/2021","3/23/2022",317,NA,57,1,"3/6/2023","","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Belgium","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"USD",40000,"1/6/2021","3/4/2021",57,NA,101,0,"","Staying with Incumbent Solution","Sales","2021"
"EAE - NA East",0,"United States","Other","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"",NA,"8/25/2021","10/4/2021",40,NA,101,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2021"
"Other",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"",NA,"2/3/2021","4/27/2021",83,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - NA East",1,"United States","Snowflake","","7 - Closed Lost","Databricks Opportunity","","Consulting Partner",NA,"",NA,"5/10/2021","9/8/2021",121,NA,101,0,"","Unable to contact","Partner","2021"
"EAE - RoW EMEA/APAC",1,"Italy","Snowflake","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",10000,"8/10/2021","2/22/2022",196,NA,86,0,"","Change in Project Scope","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Italy","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"7/22/2021","11/11/2021",112,NA,101,0,"","Change in Project Scope","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",1,"France","Snowflake","AWS","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",30000,"5/28/2021","2/22/2022",270,NA,86,0,"","Change in Project Scope","Partner","2021"
"EAE - NA West",1,"United States","Snowflake","","8 - Closed Won","New Logo","Contract","Sales Prospecting",4724,"USD",4723.5,"7/26/2021","3/11/2022",228,NA,101,1,"3/9/2022","","Outbound SDR","2021"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","PayGo","Sales Prospecting",NA,"USD",2e+05,"5/10/2021","2/10/2022",276,NA,98,0,"","Unable to contact","Sales","2021"
"CAM - NA",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",30700,"2/1/2021","8/10/2021",190,NA,101,0,"","Lost Champion","Sales","2021"
"EAE - NA East",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"7/20/2021","12/28/2021",161,NA,101,0,"","Unable to contact","Partner","2021"
"CAM - NA",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Website",NA,"USD",10000,"6/3/2021","8/13/2021",71,NA,101,0,"","Lost to Competitor","Outbound SDR","2021"
"CAM - NA",1,"Peru","BigQuery","","8 - Closed Won","BigQuery Opportunity","Contract","Consulting Partner",25874,"USD",30500,"5/4/2021","8/10/2021",98,68,101,1,"6/1/2021","","Partner","2021"
"Other",0,"United States","Snowflake","AWS","1 - Identified","Demo/Test License","","Event",NA,"",NA,"5/14/2021","2/28/2022",370,NA,101,1,"5/12/2021","","Sales","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Website",650493,"USD",1e+05,"5/11/2021","10/8/2021",150,97,101,1,"8/26/2021","Duplicate","Sales","2021"
"EAE - NA Central",1,"Canada","Snowflake","","8 - Closed Won","Consultancy Opportunity","Contract","Consulting Partner",NA,"USD",9240,"6/2/2021","6/2/2021",0,NA,101,0,"","","Partner","2021"
"EAE - RoW EMEA/APAC",1,"France","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"USD",19950,"5/6/2021","5/31/2021",25,NA,101,0,"","Change in Project Scope","Partner","2021"
"Other",0,"United States","","","7 - Closed Lost","Consultancy Opportunity","","Marketplace",NA,"",NA,"8/4/2021","12/16/2021",134,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Referral",NA,"USD",48000,"5/7/2021","7/26/2021",80,NA,101,0,"","Unable to contact","Sales","2021"
"EAE - RoW EMEA/APAC",1,"Netherlands","Synapse","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"",NA,"7/19/2021","3/29/2022",253,NA,51,0,"","Lost Champion","Partner","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"USD",23000,"8/31/2021","1/18/2022",140,NA,101,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Singapore","Snowflake","AWS","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",50000,"8/25/2021","4/12/2022",230,NA,38,0,"","Change in Project Scope","Partner","2021"
"EAE - RoW EMEA/APAC",0,"France","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",30000,"5/25/2021","12/30/2022",359,NA,101,0,"","","Sales","2021"
"EAE - NA Central",0,"United States","Snowflake","AWS","7 - Closed Lost","Expansion","Contract","Website",NA,"USD",51000,"8/9/2021","2/14/2022",189,NA,94,0,"","Org Structure Changes","Sales","2021"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",35000,"7/14/2021","10/12/2021",90,NA,101,0,"","Timing","Outbound SDR","2021"
"EAE - RoW UK",0,"Germany","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"USD",40000,"8/25/2021","12/2/2021",99,NA,101,0,"","Change in Project Scope","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Australia","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",30000,"5/11/2021","2/22/2022",287,NA,86,0,"","Change in Project Scope","Sales","2021"
"EAE - NA East",1,"United States","Snowflake","AWS","1 - Identified","New Logo","","Organic",NA,"USD",51000,"4/30/2021","12/5/2022",384,NA,101,0,"","","Inbound SDR/Marketing","2021"
"Other",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",10000,"1/26/2021","4/12/2021",76,NA,101,0,"","Lost Champion","Sales","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"",NA,"5/10/2021","5/24/2021",14,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Synapse","Azure","1 - Identified","New Logo","","Drift",NA,"USD",25000,"4/19/2022","9/30/2022",30,NA,21,0,"","","Outbound SDR","2022"
"EAE - RoW EMEA/APAC",1,"Australia","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",10000,"2/7/2021","12/29/2022",466,NA,101,0,"","","Sales","2021"
"CAM - NA",0,"United States","","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Website",59218,"USD",59217.6,"5/17/2021","5/28/2021",11,NA,101,1,"6/10/2021","","Sales","2021"
"",0,"United States","Snowflake","","7 - Closed Lost","BigQuery Opportunity","","Organic",NA,"",NA,"7/15/2021","8/31/2021",47,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA West",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"8/19/2021","10/8/2021",50,NA,101,1,"2/23/2022","Change in Project Scope","Partner","2021"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Event",NA,"",NA,"7/28/2021","11/16/2021",111,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",35000,"9/23/2021","7/28/2022",238,NA,101,0,"","","Outbound SDR","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Organic",NA,"USD",30000,"1/15/2021","4/14/2021",89,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA East",1,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Consulting Partner",10984,"USD",23000,"6/10/2021","7/29/2021",49,56,101,1,"6/23/2021","","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Australia","","","8 - Closed Won","Redshift Opportunity","Contract","Sales Prospecting",NA,"USD",163996,"1/13/2021","6/18/2021",156,NA,101,0,"","","Sales","2021"
"Other",0,"Australia","Snowflake","AWS","8 - Closed Won","Unspecified Opportunity","PayGo","Techno-company Data Loader",NA,"USD",10000,"8/2/2021","9/30/2021",59,131,101,0,"","","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Norway","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"USD",31000,"2/1/2021","4/23/2021",81,NA,101,0,"","Lost to Competitor","Sales","2021"
"CAE - RoW",0,"Portugal","","","8 - Closed Won","Databricks Opportunity","PayGo","Paid",0,"USD",10000,"9/14/2021","1/31/2022",139,79,101,1,"11/30/2021","","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",10000,"8/24/2021","8/31/2022",268,NA,101,0,"","","Sales","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","Expansion","","Paid",NA,"USD",10000,"7/19/2021","3/18/2022",242,NA,62,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"CAE - North America",1,"United States","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Consulting Partner",8185,"USD",15000,"7/30/2021","9/30/2021",62,50,101,1,"8/18/2021","","Partner","2021"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","Databricks Opportunity","","Event",NA,"USD",35000,"7/16/2021","10/12/2021",88,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"United States","Redshift","AWS","7 - Closed Lost","Redshift Opportunity","","Techno-company Data Loader",NA,"",NA,"5/26/2021","6/21/2021",26,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",0,"Denmark","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"",NA,"1/13/2021","2/11/2021",29,NA,101,0,"","Change in Project Scope","Sales","2021"
"EAE - RoW UK",0,"United Kingdom","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"",NA,"9/24/2021","3/29/2022",186,NA,51,0,"","Change in Project Scope","Sales","2021"
"EAE - NA Central",0,"United States","","AWS","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Sales Prospecting",108402,"USD",30572,"1/28/2021","3/23/2021",54,15,101,1,"2/18/2021","","Sales","2021"
"EAE - NA East",1,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","Contract","Drift",NA,"USD",60000,"7/27/2021","4/15/2022",262,NA,34,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"",NA,"8/18/2021","10/7/2021",50,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Snowflake","","8 - Closed Won","Snowflake on Azure Opportunity","Contract","Organic",63737,"USD",60000,"1/14/2021","9/14/2021",243,32,101,1,"3/10/2021","","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"",NA,"5/6/2021","6/1/2021",26,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Belgium","","","7 - Closed Lost","BigQuery Opportunity","","Sales Prospecting",0,"USD",30000,"1/28/2021","3/23/2021",54,20,101,1,"2/4/2021","Change in Project Scope","Sales","2021"
"EAE - NA Central",0,"United States","Redshift","","7 - Closed Lost","Unspecified Opportunity","Contract","Organic",NA,"USD",23000,"9/22/2021","11/3/2021",42,NA,101,0,"","Budget","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"Vietnam","","","7 - Closed Lost","BigQuery Opportunity","","Techno-company Data Loader",NA,"",NA,"2/3/2021","6/25/2021",142,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - NA East",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on Azure Opportunity","","Consulting Partner",NA,"",NA,"6/11/2021","9/16/2021",97,NA,101,0,"","Lost to Competitor","Partner","2021"
"CAE - RoW",0,"Netherlands","Redshift","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Website",0,"USD",10000,"7/28/2021","10/31/2021",95,91,101,1,"8/5/2021","","Sales","2021"
"CAE - North America",0,"United States","","","7 - Closed Lost","Snowflake on Azure Opportunity","","List Import",NA,"",NA,"5/14/2021","5/17/2021",3,NA,101,0,"","Org Structure Changes","Sales","2021"
"Other",0,"United States","Snowflake","AWS","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Sales Prospecting",34884,"USD",10000,"8/28/2021","9/30/2021",33,13,101,1,"9/10/2021","","Sales","2021"
"",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Techno-company Data Loader",NA,"",NA,"7/15/2021","12/28/2021",166,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - NA East",0,"United States","Other","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"8/25/2021","10/4/2021",40,NA,101,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2021"
"EAE - NA West",0,"United States","","","8 - Closed Won","Snowflake on Azure Opportunity","Contract","Paid",NA,"USD",51168,"2/9/2021","3/4/2021",23,NA,101,0,"","","Sales","2021"
"CAE - RoW",0,"India","Snowflake","AWS","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"USD",10000,"9/7/2021","9/28/2021",21,21,101,1,"9/19/2021","Cost","Inbound SDR/Marketing","2021"
"Other",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Marketplace",NA,"",NA,"1/19/2021","4/27/2021",98,NA,101,0,"","Change in Project Scope","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Japan","Snowflake","AWS","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",30000,"9/8/2021","2/21/2022",166,NA,87,0,"","Change in Project Scope","Partner","2021"
"EAE - NA Central",0,"United States","Snowflake","","8 - Closed Won","Snowflake on Azure Opportunity","Contract","Consulting Partner",0,"USD",20000,"10/14/2021","11/23/2021",40,NA,101,0,"","","Sales","2021"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",51000,"2/4/2021","8/18/2021",195,NA,101,0,"","Timing","Sales","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","Contract","Event",NA,"USD",30000,"8/27/2021","5/11/2022",257,NA,8,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Australia","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Incoming Call/Email",NA,"USD",60000,"5/4/2021","5/17/2021",13,13,101,0,"","Duplicate","Sales","2021"
"EAE - NA East",1,"United States","Snowflake","","7 - Closed Lost","New Logo","","Consulting Partner",NA,"",NA,"10/15/2021","4/11/2022",178,NA,38,0,"","Change in Project Scope","Partner","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",30000,"1/28/2021","4/29/2021",91,NA,101,0,"","Unable to contact","Sales","2021"
"CAM - NA",0,"United States","","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Paid",19189,"USD",10000,"7/30/2021","9/30/2021",62,34,101,1,"9/8/2021","","Sales","2021"
"EAE - RoW EMEA/APAC",0,"Denmark","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Techno-company Data Loader",NA,"",NA,"1/8/2021","5/11/2021",123,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"Vietnam","Redshift","AWS","7 - Closed Lost","Unspecified Opportunity","","Organic",NA,"",NA,"10/18/2021","11/8/2021",21,NA,101,1,"10/15/2021","Unable to contact","Inbound SDR/Marketing","2021"
"CAE - NA Southeast",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"USD",23000,"1/6/2021","12/28/2021",356,NA,101,0,"","Unable to contact","Partner","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"",NA,"5/24/2021","8/9/2021",77,NA,101,0,"","Staying with Incumbent Solution","Outbound SDR","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Redshift Opportunity","","Paid",NA,"USD",23000,"1/21/2021","4/12/2021",81,NA,101,0,"","Unable to contact","Sales","2021"
"CAE - RoW",0,"New Zealand","Snowflake","AWS","7 - Closed Lost","Snowflake on AWS Opportunity","","Paid",NA,"",NA,"5/11/2021","6/21/2021",41,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"Other",1,"Peru","BigQuery","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"1/7/2021","5/17/2021",130,NA,101,0,"","Lost Champion","Partner","2021"
"CAM - NA",0,"United States","","","7 - Closed Lost","Snowflake on Azure Opportunity","","Sales Prospecting",NA,"USD",10000,"6/8/2021","1/7/2022",213,NA,101,0,"","Lost to Competitor","Sales","2021"
"EAE - NA West",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"5/7/2021","9/28/2021",144,NA,101,0,"","Unable to contact","Partner","2021"
"EAE - NA Central",0,"United States","BigQuery","","8 - Closed Won","Consultancy Opportunity","Contract","Event",NA,"USD",0,"9/23/2021","9/28/2021",5,NA,101,0,"","","Sales","2021"
"EAE - RoW EMEA/APAC",1,"Netherlands","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"1/14/2021","10/5/2021",264,NA,101,0,"","Timing","Partner","2021"
"EAE - RoW EMEA/APAC",1,"Australia","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"8/19/2021","8/24/2021",5,NA,101,0,"","Change in Project Scope","Partner","2021"
"EAE - NA West",0,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"USD",60000,"2/8/2021","8/22/2021",195,NA,101,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"United Kingdom","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Techno-company Data Loader",NA,"",NA,"4/30/2021","5/21/2021",21,NA,101,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"EAE - NA West",1,"United States","Snowflake","AWS","2 - Trial","New Logo","Contract","Paid",0,"USD",50000,"8/27/2021","12/28/2022",265,NA,101,1,"2/28/2022","","Inbound SDR/Marketing","2021"
"CAM - NA",1,"United States","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Consulting Partner",NA,"",NA,"1/14/2021","2/3/2021",20,NA,101,0,"","Change in Project Scope","Partner","2021"
